user_id,signup_date,acquisition_channel,ab_test_group,age_groups,device
U00949,2025-03-21,Facebook,Control,45+,Desktop
U00950,2025-02-04,Facebook,Control,18-24,Desktop
U00951,2025-02-02,Referral,Control,18-24,Mobile
U00952,2025-01-18,TikTok,Variant,25-34,Tablet
U00953,2025-03-12,Organic,Control,45+,Mobile
U00954,2025-01-18,Facebook,Variant,45+,Mobile
U00955,2025-03-01,Facebook,Control,18-24,Desktop
U00956,2025-03-21,TikTok,Control,18-24,Desktop
U00957,2025-01-28,Facebook,Variant,25-34,Desktop
U00958,2025-01-27,Google Ads,Variant,25-34,Desktop
U00959,2025-02-19,Instagram,Control,18-24,Mobile
U00960,2025-02-26,Google Ads,Control,25-34,Mobile
U00961,2025-02-20,Organic,Control,25-34,Mobile
U00962,2025-01-04,TikTok,Control,25-34,Mobile
U00963,2025-03-09,Facebook,Control,45+,Desktop
U00964,2025-03-27,Organic,Variant,18-24,Mobile
U00965,2025-03-17,Facebook,Variant,18-24,Desktop
U00966,2025-03-05,Organic,Variant,35-44,Mobile
U00967,2025-03-17,Instagram,Variant,18-24,Desktop
U00968,2025-03-26,Instagram,Variant,18-24,Mobile
U00969,2025-01-25,TikTok,Control,35-44,Mobile
U00970,2025-03-16,Google Ads,Variant,18-24,Mobile
U00971,2025-03-12,Facebook,Control,25-34,Mobile
U00972,2025-03-27,Google Ads,Variant,25-34,Mobile
U00973,2025-03-25,TikTok,Variant,25-34,Desktop
U00974,2025-03-23,Instagram,Variant,45+,Mobile
U00975,2025-03-12,Google Ads,Control,45+,Mobile
U00976,2025-02-23,Google Ads,Variant,25-34,Tablet
U00977,2025-01-20,Referral,Control,35-44,Mobile
U00978,2025-02-26,Facebook,Control,25-34,Desktop
U00979,2025-03-19,Instagram,Variant,25-34,Mobile
U00980,2025-02-12,Google Ads,Control,25-34,Mobile
U00981,2025-02-25,Organic,Control,25-34,Mobile
U00982,2025-01-16,Facebook,Variant,18-24,Mobile
U00983,2025-03-31,Facebook,Control,25-34,Mobile
U00984,2025-02-16,Facebook,Control,45+,Mobile
U00985,2025-01-05,Google Ads,Variant,18-24,Mobile
U00986,2025-03-25,Referral,Variant,35-44,Mobile
U00987,2025-02-04,Instagram,Variant,18-24,Mobile
U00988,2025-02-02,Instagram,Control,25-34,Tablet
U00989,2025-03-23,Referral,Variant,35-44,Mobile
U00990,2025-01-08,Facebook,Variant,18-24,Desktop
U00991,2025-03-11,Facebook,Control,18-24,Mobile
U00992,2025-03-23,TikTok,Control,18-24,Mobile
U00993,2025-02-14,Facebook,Variant,35-44,Desktop
U00994,2025-02-23,Facebook,Control,18-24,Mobile
U00995,2025-03-20,TikTok,Control,35-44,Mobile
U00996,2025-03-18,Instagram,Variant,18-24,Desktop
U00997,2025-01-30,Instagram,Variant,45+,Mobile
U00998,2025-01-07,TikTok,Variant,35-44,Mobile
U00999,2025-03-28,TikTok,Variant,35-44,Tablet
U01000,2025-02-15,Google Ads,Control,45+,Mobile
U01001,2025-02-25,Google Ads,Control,18-24,Mobile
U01002,2025-03-24,Referral,Control,45+,Mobile
U01003,2025-01-09,Google Ads,Variant,18-24,Mobile
U01004,2025-01-16,Referral,Variant,18-24,Mobile
U01005,2025-03-13,Organic,Variant,25-34,Mobile
U01006,2025-01-27,Organic,Control,25-34,Mobile
U01007,2025-03-07,Google Ads,Variant,25-34,Tablet
U01008,2025-02-04,Google Ads,Control,25-34,Mobile
U01009,2025-01-26,TikTok,Variant,35-44,Tablet
U01010,2025-03-27,TikTok,Control,35-44,Desktop
U01011,2025-01-20,Google Ads,Control,25-34,Desktop
U01012,2025-01-22,Facebook,Control,45+,Desktop
U01013,2025-01-29,Instagram,Variant,18-24,Desktop
U01014,2025-02-19,Facebook,Control,45+,Mobile
U01015,2025-01-01,TikTok,Variant,45+,Tablet
U01016,2025-01-10,Facebook,Control,35-44,Mobile
U01017,2025-01-04,Google Ads,Variant,18-24,Mobile
U01018,2025-02-03,Google Ads,Control,18-24,Mobile
U01019,2025-02-28,Google Ads,Control,35-44,Desktop
U01020,2025-01-18,TikTok,Variant,45+,Mobile
U01021,2025-01-10,TikTok,Variant,35-44,Mobile
U01022,2025-03-26,Facebook,Variant,45+,Mobile
U01023,2025-01-02,Facebook,Variant,35-44,Mobile
U01024,2025-03-07,Google Ads,Variant,45+,Desktop
U01025,2025-01-15,Facebook,Control,25-34,Mobile
U01026,2025-03-01,Google Ads,Control,35-44,Desktop
U01027,2025-03-28,Google Ads,Control,35-44,Mobile
U01028,2025-03-09,Facebook,Control,45+,Desktop
U01029,2025-02-27,TikTok,Variant,25-34,Mobile
U01030,2025-02-23,TikTok,Control,18-24,Mobile
U01031,2025-01-31,TikTok,Control,18-24,Desktop
U01032,2025-02-06,Referral,Variant,18-24,Desktop
U01033,2025-03-29,TikTok,Control,25-34,Mobile
U01034,2025-02-11,Google Ads,Variant,35-44,Mobile
U01035,2025-01-23,TikTok,Variant,18-24,Mobile
U01036,2025-03-08,TikTok,Variant,18-24,Mobile
U01037,2025-01-15,Referral,Variant,35-44,Mobile
U01038,2025-03-10,Google Ads,Variant,25-34,Mobile
U01039,2025-03-16,TikTok,Variant,25-34,Mobile
U01040,2025-01-15,Facebook,Variant,45+,Tablet
U01041,2025-03-30,Organic,Control,45+,Mobile
U01042,2025-03-30,Facebook,Variant,35-44,Mobile
U01043,2025-03-03,Instagram,Control,45+,Mobile
U01044,2025-03-01,TikTok,Control,45+,Mobile
U01045,2025-01-06,Referral,Variant,18-24,Mobile
U01046,2025-03-04,Google Ads,Control,45+,Mobile
U01047,2025-01-26,Facebook,Control,25-34,Mobile
U01048,2025-01-20,Facebook,Variant,35-44,Mobile
U01049,2025-01-28,Google Ads,Control,35-44,Mobile
U01050,2025-02-08,Google Ads,Control,18-24,Desktop
U01051,2025-03-05,TikTok,Control,18-24,Mobile
U01052,2025-02-02,Instagram,Variant,25-34,Desktop
U01053,2025-02-16,Facebook,Control,35-44,Mobile
U01054,2025-02-02,Organic,Control,35-44,Desktop
U01055,2025-01-22,Facebook,Control,45+,Desktop
U01056,2025-03-09,Google Ads,Control,18-24,Tablet
U01057,2025-01-14,Organic,Control,35-44,Mobile
U01058,2025-01-13,Facebook,Variant,25-34,Mobile
U01059,2025-02-01,Instagram,Variant,45+,Mobile
U01060,2025-02-17,TikTok,Control,45+,Tablet
U01061,2025-02-11,Instagram,Variant,18-24,Mobile
U01062,2025-02-28,Facebook,Variant,45+,Mobile
U01063,2025-03-30,Organic,Variant,45+,Mobile
U01064,2025-01-18,Referral,Variant,18-24,Mobile
U01065,2025-02-04,Instagram,Control,45+,Mobile
U01066,2025-01-03,TikTok,Variant,45+,Mobile
U01067,2025-01-21,Google Ads,Control,18-24,Mobile
U01068,2025-03-05,TikTok,Control,45+,Mobile
U01069,2025-02-07,Referral,Variant,45+,Tablet
U01070,2025-03-19,TikTok,Control,25-34,Mobile
U01071,2025-03-16,Google Ads,Control,25-34,Mobile
U01072,2025-01-18,Instagram,Variant,35-44,Desktop
U01073,2025-01-25,Organic,Variant,35-44,Desktop
U01074,2025-01-25,TikTok,Variant,35-44,Mobile
U01075,2025-03-31,Instagram,Variant,25-34,Desktop
U01076,2025-01-04,Google Ads,Control,45+,Mobile
U01077,2025-02-26,Facebook,Variant,25-34,Desktop
U01078,2025-03-25,Facebook,Control,35-44,Mobile
U01079,2025-03-08,Organic,Variant,45+,Mobile
U01080,2025-01-23,Facebook,Control,35-44,Mobile
U01081,2025-02-23,Referral,Variant,18-24,Desktop
U01082,2025-02-16,Instagram,Control,18-24,Desktop
U01083,2025-02-02,Google Ads,Control,18-24,Mobile
U01084,2025-01-22,Facebook,Variant,18-24,Mobile
U01085,2025-03-18,Google Ads,Variant,35-44,Desktop
U01086,2025-03-14,Instagram,Variant,45+,Desktop
U01087,2025-01-11,Referral,Variant,18-24,Tablet
U01088,2025-01-05,Facebook,Variant,45+,Mobile
U01089,2025-02-18,Google Ads,Variant,25-34,Mobile
U01090,2025-01-21,TikTok,Variant,45+,Mobile
U01091,2025-03-18,TikTok,Variant,25-34,Desktop
U01092,2025-01-25,TikTok,Variant,35-44,Mobile
U01093,2025-02-27,TikTok,Control,25-34,Mobile
U01094,2025-03-20,Referral,Variant,25-34,Mobile
U01095,2025-01-18,TikTok,Variant,18-24,Tablet
U01096,2025-01-19,Facebook,Variant,35-44,Mobile
U01097,2025-01-22,Facebook,Control,35-44,Mobile
U01098,2025-03-25,Facebook,Control,45+,Mobile
U01099,2025-03-30,Instagram,Control,35-44,Mobile
U01100,2025-01-22,Google Ads,Variant,25-34,Mobile
U01101,2025-02-23,Referral,Control,35-44,Mobile
U01102,2025-02-24,Google Ads,Control,18-24,Desktop
U01103,2025-01-14,TikTok,Variant,18-24,Mobile
U01104,2025-01-23,Google Ads,Variant,45+,Desktop
U01105,2025-02-24,TikTok,Variant,25-34,Mobile
U01106,2025-01-21,Facebook,Variant,45+,Mobile
U01107,2025-03-06,Facebook,Variant,25-34,Mobile
U01108,2025-02-02,Google Ads,Variant,45+,Mobile
U01109,2025-03-04,Google Ads,Variant,35-44,Mobile
U01110,2025-03-18,TikTok,Control,35-44,Mobile
U01111,2025-02-20,TikTok,Control,25-34,Mobile
U01112,2025-01-03,TikTok,Control,35-44,Mobile
U01113,2025-03-06,Organic,Variant,18-24,Mobile
U01114,2025-01-05,Instagram,Variant,18-24,Tablet
U01115,2025-02-16,TikTok,Variant,45+,Mobile
U01116,2025-02-10,Organic,Control,35-44,Desktop
U01117,2025-02-03,Instagram,Variant,35-44,Mobile
U01118,2025-03-11,Facebook,Variant,25-34,Mobile
U01119,2025-02-21,Organic,Control,18-24,Mobile
U01120,2025-02-19,TikTok,Control,18-24,Mobile
U01121,2025-01-06,Facebook,Variant,35-44,Desktop
U01122,2025-01-15,Facebook,Control,45+,Desktop
U01123,2025-02-18,Facebook,Control,45+,Mobile
U01124,2025-03-08,Google Ads,Variant,25-34,Mobile
U01125,2025-02-10,Facebook,Variant,45+,Mobile
U01126,2025-01-24,TikTok,Variant,25-34,Desktop
U01127,2025-02-16,Google Ads,Control,25-34,Mobile
U01128,2025-02-22,Facebook,Variant,18-24,Mobile
U01129,2025-01-19,Facebook,Control,18-24,Mobile
U01130,2025-02-28,TikTok,Control,18-24,Tablet
U01131,2025-03-29,Referral,Control,18-24,Mobile
U01132,2025-02-11,Facebook,Control,35-44,Mobile
U01133,2025-03-03,Google Ads,Control,18-24,Mobile
U01134,2025-03-16,TikTok,Variant,25-34,Mobile
U01135,2025-01-10,Google Ads,Control,35-44,Mobile
U01136,2025-01-18,Google Ads,Variant,35-44,Desktop
U01137,2025-01-16,Instagram,Control,45+,Tablet
U01138,2025-01-09,Facebook,Control,18-24,Mobile
U01139,2025-02-15,Facebook,Control,45+,Desktop
U01140,2025-02-15,TikTok,Variant,18-24,Desktop
U01141,2025-02-16,TikTok,Variant,25-34,Desktop
U01142,2025-02-09,Facebook,Control,45+,Mobile
U01143,2025-02-27,Google Ads,Control,35-44,Mobile
U01144,2025-03-09,Referral,Variant,18-24,Mobile
U01145,2025-03-04,Instagram,Control,35-44,Desktop
U01146,2025-03-17,Google Ads,Control,45+,Desktop
U01147,2025-02-07,Google Ads,Control,18-24,Desktop
U01148,2025-02-01,Referral,Control,25-34,Tablet
U01149,2025-02-12,Organic,Variant,25-34,Mobile
U01150,2025-01-20,Facebook,Variant,35-44,Desktop
U01151,2025-03-27,TikTok,Variant,25-34,Mobile
U01152,2025-03-27,Organic,Control,25-34,Mobile
U01153,2025-03-28,Google Ads,Variant,18-24,Mobile
U01154,2025-02-20,Organic,Control,18-24,Mobile
U01155,2025-03-10,Facebook,Variant,25-34,Mobile
U01156,2025-03-19,Google Ads,Control,35-44,Tablet
U01157,2025-02-25,Google Ads,Variant,18-24,Mobile
U01158,2025-02-08,TikTok,Variant,35-44,Mobile
U01159,2025-01-25,TikTok,Control,45+,Mobile
U01160,2025-03-12,Instagram,Variant,18-24,Tablet
U01161,2025-03-23,Facebook,Control,18-24,Mobile
U01162,2025-02-02,TikTok,Control,25-34,Mobile
U01163,2025-03-25,Instagram,Variant,25-34,Mobile
U01164,2025-01-19,Facebook,Control,25-34,Tablet
U01165,2025-01-23,Organic,Control,45+,Mobile
U01166,2025-03-17,TikTok,Control,18-24,Mobile
U01167,2025-01-02,Referral,Control,25-34,Desktop
U01168,2025-03-28,Google Ads,Variant,35-44,Mobile
U01169,2025-01-20,TikTok,Variant,25-34,Mobile
U01170,2025-02-20,Organic,Control,45+,Desktop
U01171,2025-01-07,Facebook,Control,25-34,Mobile
U01172,2025-02-12,Organic,Variant,25-34,Mobile
U01173,2025-01-24,TikTok,Variant,35-44,Mobile
U01174,2025-03-12,Instagram,Variant,25-34,Desktop
U01175,2025-02-09,Facebook,Variant,45+,Mobile
U01176,2025-03-09,Facebook,Variant,45+,Mobile
U01177,2025-03-15,TikTok,Variant,25-34,Desktop
U01178,2025-01-30,Instagram,Control,35-44,Mobile
U01179,2025-01-27,Facebook,Variant,35-44,Mobile
U01180,2025-02-28,Organic,Variant,45+,Desktop
U01181,2025-01-04,TikTok,Variant,18-24,Mobile
U01182,2025-02-12,Facebook,Control,18-24,Desktop
U01183,2025-01-14,Google Ads,Variant,18-24,Desktop
U01184,2025-03-11,Facebook,Variant,45+,Mobile
U01185,2025-01-27,Organic,Variant,35-44,Tablet
U01186,2025-01-04,Referral,Variant,45+,Desktop
U01187,2025-01-17,Google Ads,Control,35-44,Mobile
U01188,2025-03-03,Google Ads,Variant,35-44,Mobile
U01189,2025-03-07,Google Ads,Variant,25-34,Mobile
U01190,2025-01-31,TikTok,Variant,35-44,Mobile
U01191,2025-03-01,Facebook,Control,18-24,Tablet
U01192,2025-03-25,Facebook,Control,35-44,Mobile
U01193,2025-01-12,Google Ads,Variant,25-34,Desktop
U01194,2025-03-10,Google Ads,Variant,35-44,Mobile
U01195,2025-03-07,Facebook,Variant,25-34,Mobile
U01196,2025-02-08,TikTok,Control,25-34,Tablet
U01197,2025-01-25,Facebook,Variant,35-44,Mobile
U01198,2025-02-25,TikTok,Control,45+,Mobile
U01199,2025-01-07,Google Ads,Variant,18-24,Desktop
U01200,2025-01-11,Facebook,Variant,35-44,Tablet
U01201,2025-02-18,Facebook,Variant,18-24,Mobile
U01202,2025-02-13,TikTok,Variant,18-24,Desktop
U01203,2025-03-22,Facebook,Variant,18-24,Tablet
U01204,2025-03-21,Facebook,Variant,35-44,Desktop
U01205,2025-02-23,TikTok,Control,35-44,Mobile
U01206,2025-03-27,Instagram,Variant,35-44,Mobile
U01207,2025-03-11,Facebook,Control,45+,Mobile
U01208,2025-02-26,Organic,Variant,45+,Tablet
U01209,2025-01-15,Facebook,Variant,25-34,Mobile
U01210,2025-02-19,Referral,Variant,45+,Mobile
U01211,2025-02-04,Facebook,Variant,35-44,Desktop
U01212,2025-01-20,TikTok,Control,25-34,Mobile
U01213,2025-01-17,Organic,Variant,45+,Mobile
U01214,2025-02-14,Facebook,Variant,45+,Mobile
U01215,2025-03-28,TikTok,Control,35-44,Tablet
U01216,2025-01-01,Instagram,Control,18-24,Tablet
U01217,2025-01-15,Organic,Variant,18-24,Tablet
U01218,2025-02-10,TikTok,Control,18-24,Mobile
U01219,2025-03-24,Referral,Variant,18-24,Mobile
U01220,2025-03-22,Facebook,Control,25-34,Tablet
U01221,2025-02-26,Google Ads,Variant,18-24,Mobile
U01222,2025-01-22,Referral,Control,18-24,Mobile
U01223,2025-01-04,Facebook,Variant,25-34,Mobile
U01224,2025-01-17,Facebook,Variant,35-44,Desktop
U01225,2025-01-21,Instagram,Variant,25-34,Mobile
U01226,2025-01-13,Facebook,Variant,18-24,Mobile
U01227,2025-01-16,TikTok,Variant,35-44,Mobile
U01228,2025-03-19,Google Ads,Variant,45+,Desktop
U01229,2025-02-19,Google Ads,Control,35-44,Mobile
U01230,2025-02-22,Organic,Variant,18-24,Mobile
U01231,2025-01-27,Instagram,Variant,45+,Mobile
U01232,2025-02-03,Google Ads,Control,25-34,Mobile
U01233,2025-03-08,TikTok,Variant,45+,Mobile
U01234,2025-02-05,Instagram,Control,25-34,Desktop
U01235,2025-03-30,TikTok,Control,35-44,Desktop
U01236,2025-01-03,Google Ads,Control,25-34,Desktop
U01237,2025-02-04,Organic,Variant,18-24,Mobile
U01238,2025-02-10,Facebook,Control,45+,Mobile
U01239,2025-01-10,Facebook,Variant,25-34,Mobile
U01240,2025-01-27,Facebook,Variant,18-24,Mobile
U01241,2025-02-05,Organic,Variant,25-34,Mobile
U01242,2025-01-18,Google Ads,Variant,35-44,Mobile
U01243,2025-02-04,Facebook,Variant,45+,Mobile
U01244,2025-03-17,Google Ads,Variant,25-34,Mobile
U01245,2025-02-24,TikTok,Control,35-44,Mobile
U01246,2025-01-29,Referral,Control,45+,Desktop
U01247,2025-03-06,Instagram,Control,18-24,Mobile
U01248,2025-02-28,Facebook,Variant,35-44,Desktop
U01249,2025-02-17,TikTok,Variant,45+,Mobile
U01250,2025-03-29,TikTok,Control,18-24,Mobile
U01251,2025-02-07,Google Ads,Variant,45+,Mobile
U01252,2025-02-07,Google Ads,Variant,25-34,Mobile
U01253,2025-01-18,Instagram,Variant,35-44,Mobile
U01254,2025-02-11,TikTok,Variant,25-34,Tablet
U01255,2025-03-09,Instagram,Control,35-44,Mobile
U01256,2025-03-27,Organic,Variant,45+,Desktop
U01257,2025-01-20,TikTok,Control,25-34,Desktop
U01258,2025-03-25,Organic,Control,18-24,Mobile
U01259,2025-02-05,Instagram,Control,35-44,Desktop
U01260,2025-01-19,Facebook,Control,18-24,Tablet
U01261,2025-02-12,Google Ads,Variant,18-24,Mobile
U01262,2025-03-02,Organic,Control,18-24,Mobile
U01263,2025-02-05,Facebook,Control,25-34,Mobile
U01264,2025-02-08,Facebook,Variant,45+,Desktop
U01265,2025-01-17,Facebook,Variant,35-44,Mobile
U01266,2025-01-19,Organic,Control,25-34,Mobile
U01267,2025-02-07,Google Ads,Variant,35-44,Mobile
U01268,2025-02-26,TikTok,Control,18-24,Mobile
U01269,2025-01-02,Google Ads,Control,18-24,Tablet
U01270,2025-03-11,Google Ads,Control,18-24,Mobile
U01271,2025-03-30,Google Ads,Control,18-24,Mobile
U01272,2025-03-07,Instagram,Control,25-34,Desktop
U01273,2025-01-20,Google Ads,Variant,35-44,Mobile
U01274,2025-02-16,Instagram,Variant,18-24,Desktop
U01275,2025-03-21,TikTok,Control,35-44,Desktop
U01276,2025-03-16,Google Ads,Control,25-34,Desktop
U01277,2025-03-07,Organic,Control,25-34,Mobile
U01278,2025-03-10,Facebook,Control,35-44,Mobile
U01279,2025-03-06,Facebook,Variant,35-44,Mobile
U01280,2025-02-19,Instagram,Variant,25-34,Mobile
U01281,2025-03-21,TikTok,Control,45+,Desktop
U01282,2025-01-11,Facebook,Control,25-34,Tablet
U01283,2025-03-07,Facebook,Variant,18-24,Mobile
U01284,2025-03-25,Facebook,Control,35-44,Mobile
U01285,2025-01-03,Organic,Control,25-34,Mobile
U01286,2025-01-08,Referral,Control,25-34,Mobile
U01287,2025-03-10,Facebook,Variant,35-44,Desktop
U01288,2025-03-04,Organic,Control,45+,Tablet
U01289,2025-03-18,TikTok,Variant,18-24,Mobile
U01290,2025-01-21,Organic,Control,45+,Desktop
U01291,2025-03-07,Facebook,Control,18-24,Desktop
U01292,2025-03-12,Instagram,Variant,18-24,Desktop
U01293,2025-02-26,Facebook,Variant,18-24,Mobile
U01294,2025-03-05,Facebook,Variant,35-44,Mobile
U01295,2025-01-13,TikTok,Variant,45+,Mobile
U01296,2025-02-11,Organic,Variant,35-44,Mobile
U01297,2025-01-30,Instagram,Control,25-34,Desktop
U01298,2025-01-08,Facebook,Control,35-44,Mobile
U01299,2025-03-08,Google Ads,Variant,18-24,Desktop
U01300,2025-02-13,TikTok,Control,35-44,Mobile
U01301,2025-03-26,Organic,Control,35-44,Mobile
U01302,2025-01-22,Facebook,Control,45+,Desktop
U01303,2025-03-23,Google Ads,Variant,18-24,Mobile
U01304,2025-03-19,TikTok,Variant,25-34,Mobile
U01305,2025-01-08,Google Ads,Control,25-34,Tablet
U01306,2025-02-16,Google Ads,Control,45+,Mobile
U01307,2025-01-15,Referral,Variant,45+,Mobile
U01308,2025-02-05,Instagram,Control,25-34,Mobile
U01309,2025-03-02,TikTok,Control,25-34,Desktop
U01310,2025-03-17,Referral,Control,18-24,Desktop
U01311,2025-01-02,Organic,Variant,25-34,Mobile
U01312,2025-02-05,Instagram,Control,35-44,Mobile
U01313,2025-03-15,Facebook,Control,25-34,Mobile
U01314,2025-02-21,Google Ads,Variant,45+,Mobile
U01315,2025-03-25,TikTok,Control,25-34,Mobile
U01316,2025-03-01,Facebook,Variant,25-34,Mobile
U01317,2025-03-16,TikTok,Control,35-44,Mobile
U01318,2025-02-28,TikTok,Control,45+,Mobile
U01319,2025-03-17,Google Ads,Variant,45+,Desktop
U01320,2025-03-06,Instagram,Variant,25-34,Tablet
U01321,2025-01-22,TikTok,Control,45+,Mobile
U01322,2025-03-27,Facebook,Variant,45+,Tablet
U01323,2025-02-23,Facebook,Variant,35-44,Mobile
U01324,2025-01-29,Organic,Variant,35-44,Desktop
U01325,2025-03-13,Facebook,Control,45+,Mobile
U01326,2025-01-27,TikTok,Control,18-24,Desktop
U01327,2025-01-08,Referral,Control,35-44,Mobile
U01328,2025-03-03,TikTok,Variant,45+,Desktop
U01329,2025-01-16,TikTok,Control,18-24,Desktop
U01330,2025-03-02,TikTok,Control,45+,Tablet
U01331,2025-01-21,Facebook,Control,45+,Mobile
U01332,2025-03-28,Facebook,Control,45+,Mobile
U01333,2025-03-18,Instagram,Control,35-44,Desktop
U01334,2025-02-19,Google Ads,Control,45+,Mobile
U01335,2025-01-03,Facebook,Control,25-34,Mobile
U01336,2025-01-20,Facebook,Control,45+,Mobile
U01337,2025-03-21,TikTok,Variant,25-34,Tablet
U01338,2025-03-31,Organic,Control,35-44,Mobile
U01339,2025-03-04,Facebook,Control,35-44,Mobile
U01340,2025-02-27,TikTok,Variant,25-34,Mobile
U01341,2025-02-24,Organic,Variant,35-44,Mobile
U01342,2025-03-08,Google Ads,Control,45+,Mobile
U01343,2025-03-20,Google Ads,Control,35-44,Mobile
U01344,2025-03-14,Facebook,Variant,25-34,Mobile
U01345,2025-03-05,Facebook,Variant,45+,Mobile
U01346,2025-01-15,Organic,Variant,45+,Mobile
U01347,2025-01-27,TikTok,Control,45+,Mobile
U01348,2025-01-16,Facebook,Control,45+,Desktop
U01349,2025-02-13,Organic,Variant,35-44,Mobile
U01350,2025-03-12,Referral,Control,25-34,Tablet
U01351,2025-02-27,Instagram,Control,18-24,Mobile
U01352,2025-01-18,Facebook,Control,35-44,Tablet
U01353,2025-03-28,Facebook,Control,45+,Tablet
U01354,2025-01-31,Google Ads,Variant,25-34,Mobile
U01355,2025-03-02,Instagram,Control,25-34,Tablet
U01356,2025-01-08,Instagram,Variant,18-24,Desktop
U01357,2025-02-20,Facebook,Variant,35-44,Desktop
U01358,2025-02-13,Google Ads,Control,18-24,Mobile
U01359,2025-01-10,Organic,Variant,25-34,Mobile
U01360,2025-01-05,Instagram,Control,35-44,Mobile
U01361,2025-03-18,Google Ads,Variant,35-44,Desktop
U01362,2025-02-15,TikTok,Variant,18-24,Desktop
U01363,2025-01-01,Google Ads,Variant,35-44,Mobile
U01364,2025-02-21,Facebook,Variant,25-34,Mobile
U01365,2025-03-11,Facebook,Control,45+,Tablet
U01366,2025-02-09,Google Ads,Control,35-44,Tablet
U01367,2025-03-24,TikTok,Control,45+,Mobile
U01368,2025-01-31,Instagram,Variant,45+,Desktop
U01369,2025-01-10,TikTok,Variant,18-24,Tablet
U01370,2025-02-27,Facebook,Control,25-34,Tablet
U01371,2025-02-07,TikTok,Control,25-34,Desktop
U01372,2025-03-10,TikTok,Control,35-44,Mobile
U01373,2025-01-26,TikTok,Control,25-34,Desktop
U01374,2025-02-17,Facebook,Variant,45+,Mobile
U01375,2025-01-05,Referral,Variant,25-34,Tablet
U01376,2025-02-07,TikTok,Control,25-34,Mobile
U01377,2025-03-31,Facebook,Control,35-44,Mobile
U01378,2025-02-08,Facebook,Control,18-24,Mobile
U01379,2025-03-25,Google Ads,Control,45+,Mobile
U01380,2025-01-18,TikTok,Variant,35-44,Mobile
U01381,2025-02-08,Instagram,Variant,35-44,Mobile
U01382,2025-03-25,TikTok,Control,35-44,Tablet
U01383,2025-03-15,Instagram,Control,35-44,Mobile
U01384,2025-01-03,Facebook,Control,35-44,Mobile
U01385,2025-01-13,Referral,Control,18-24,Mobile
U01386,2025-03-19,Facebook,Control,25-34,Tablet
U01387,2025-02-15,Facebook,Variant,45+,Mobile
U01388,2025-02-20,Referral,Variant,45+,Mobile
U01389,2025-02-08,Referral,Control,35-44,Mobile
U01390,2025-01-21,Organic,Variant,25-34,Tablet
U01391,2025-03-16,TikTok,Variant,25-34,Mobile
U01392,2025-01-15,Instagram,Control,35-44,Desktop
U01393,2025-03-08,Facebook,Control,18-24,Mobile
U01394,2025-01-27,Facebook,Variant,18-24,Mobile
U01395,2025-03-13,Facebook,Control,45+,Desktop
U01396,2025-01-27,Instagram,Control,18-24,Mobile
U01397,2025-02-28,Google Ads,Control,35-44,Mobile
U01398,2025-01-12,Referral,Control,18-24,Mobile
U01399,2025-02-04,Instagram,Control,25-34,Desktop
U01400,2025-01-20,TikTok,Variant,25-34,Desktop
U01401,2025-02-18,Facebook,Variant,45+,Desktop
U01402,2025-02-14,Organic,Variant,35-44,Mobile
U01403,2025-02-14,Facebook,Control,18-24,Mobile
U01404,2025-02-23,Instagram,Variant,45+,Mobile
U01405,2025-02-25,TikTok,Control,35-44,Tablet
U01406,2025-02-14,TikTok,Variant,18-24,Desktop
U01407,2025-03-04,Facebook,Variant,18-24,Mobile
U01408,2025-02-27,TikTok,Variant,25-34,Tablet
U01409,2025-01-31,Google Ads,Control,45+,Mobile
U01410,2025-02-24,Instagram,Variant,25-34,Tablet
U01411,2025-03-27,Facebook,Control,25-34,Mobile
U01412,2025-02-20,TikTok,Variant,35-44,Mobile
U01413,2025-02-14,Instagram,Control,18-24,Desktop
U01414,2025-03-12,Facebook,Variant,45+,Mobile
U01415,2025-02-09,Facebook,Variant,25-34,Desktop
U01416,2025-01-19,Google Ads,Control,18-24,Mobile
U01417,2025-02-09,Facebook,Control,35-44,Desktop
U01418,2025-01-21,Organic,Control,25-34,Desktop
U01419,2025-01-21,Instagram,Variant,35-44,Tablet
U01420,2025-01-12,Instagram,Variant,25-34,Mobile
U01421,2025-01-19,Facebook,Control,18-24,Mobile
U01422,2025-02-25,Referral,Control,25-34,Mobile
U01423,2025-01-20,Instagram,Variant,45+,Desktop
U01424,2025-01-26,Instagram,Variant,18-24,Mobile
U01425,2025-01-16,Facebook,Control,25-34,Desktop
U01426,2025-02-11,Instagram,Control,35-44,Mobile
U01427,2025-01-07,Facebook,Variant,18-24,Mobile
U01428,2025-02-25,Facebook,Control,45+,Mobile
U01429,2025-02-06,Google Ads,Variant,25-34,Mobile
U01430,2025-02-06,Instagram,Variant,45+,Desktop
U01431,2025-01-09,Facebook,Control,45+,Mobile
U01432,2025-02-06,TikTok,Variant,25-34,Desktop
U01433,2025-02-22,Instagram,Variant,45+,Mobile
U01434,2025-02-23,Organic,Control,45+,Mobile
U01435,2025-02-13,Facebook,Variant,35-44,Mobile
U01436,2025-01-15,Facebook,Variant,18-24,Mobile
U01437,2025-01-29,TikTok,Control,35-44,Mobile
U01438,2025-01-05,Facebook,Variant,18-24,Tablet
U01439,2025-03-18,Google Ads,Variant,45+,Tablet
U01440,2025-02-02,Facebook,Variant,45+,Tablet
U01441,2025-02-28,Google Ads,Control,45+,Mobile
